,experiment,sample_name,Pairs,Merged,Too short,No alignment found,Too many diffs,Overlap too short,Exp.errs. too high,Min Q too low,Ratio Pairs,Ratio Merged,Ratio Too short,Ratio No alignment found,Ratio Too many diffs,Ratio Overlap too short,Ratio Exp.errs. too high,Ratio Min Q too low
0,BY4741_FKS1-HS1_double_anidulafungin,input1,23620097,21761450,0,33059,45,0,256325,1569218,1.0,0.9213107803917994,0.0,0.0013996132192005816,1.9051572904209496e-06,0.0,0.010851987610381109,0.06643571362132848
1,BY4741_FKS1-HS1_double_anidulafungin,input2,22876785,21124254,0,28005,39,0,219385,1505102,1.0,0.9233926008396722,0.0,0.0012241667699372967,1.7047850036620093e-06,0.0,0.009589852769958716,0.06579167483542814
2,BY4741_FKS1-HS1_double_anidulafungin,input3,27765843,25798503,0,38433,59,0,285137,1643711,1.0,0.9291453171438014,0.0,0.0013841827168726698,2.1249129731087223e-06,0.0,0.010269344244293249,0.0591990309820595
3,BY4741_FKS1-HS1_double_anidulafungin,output1anidulafungin1,21408249,19499748,0,32178,30,0,248887,1627406,1.0,0.9108520738898357,0.0,0.0015030654772373022,1.4013289923898026e-06,0.0,0.011625752297630694,0.07601770700630398
4,BY4741_FKS1-HS1_double_anidulafungin,output1anidulafungin2,25780633,23584417,0,44107,54,0,320120,1831935,1.0,0.9148114012561289,0.0,0.001710857914155948,2.0945955826608294e-06,0.0,0.012417072924470085,0.07105857330966234
5,BY4741_FKS1-HS1_double_anidulafungin,output1anidulafungin3,22222942,19945768,0,37454,35,0,291568,1948117,1.0,0.8975304889874617,0.0,0.0016853754106904478,1.574948987402298e-06,0.0,0.013120135038826093,0.08766242561403437
6,BY4741_FKS1-HS1_double_anidulafungin,output2anidulafungin1,21408249,19499748,0,32178,30,0,248887,1627406,1.0,0.9108520738898357,0.0,0.0015030654772373022,1.4013289923898026e-06,0.0,0.011625752297630694,0.07601770700630398
7,BY4741_FKS1-HS1_double_anidulafungin,output2anidulafungin2,25780633,23584417,0,44107,54,0,320120,1831935,1.0,0.9148114012561289,0.0,0.001710857914155948,2.0945955826608294e-06,0.0,0.012417072924470085,0.07105857330966234
8,BY4741_FKS1-HS1_double_anidulafungin,output2anidulafungin3,22222942,19945768,0,37454,35,0,291568,1948117,1.0,0.8975304889874617,0.0,0.0016853754106904478,1.574948987402298e-06,0.0,0.013120135038826093,0.08766242561403437
9,BY4741_FKS1-HS1_double_anidulafungin,output3anidulafungin1,21408249,19499748,0,32178,30,0,248887,1627406,1.0,0.9108520738898357,0.0,0.0015030654772373022,1.4013289923898026e-06,0.0,0.011625752297630694,0.07601770700630398
10,BY4741_FKS1-HS1_double_anidulafungin,output3anidulafungin2,25780633,23584417,0,44107,54,0,320120,1831935,1.0,0.9148114012561289,0.0,0.001710857914155948,2.0945955826608294e-06,0.0,0.012417072924470085,0.07105857330966234
11,BY4741_FKS1-HS1_double_anidulafungin,output3anidulafungin3,22222942,19945768,0,37454,35,0,291568,1948117,1.0,0.8975304889874617,0.0,0.0016853754106904478,1.574948987402298e-06,0.0,0.013120135038826093,0.08766242561403437
12,BY4741_FKS1-HS1_double_caspofungin,input1,23620097,21761450,0,33059,45,0,256325,1569218,1.0,0.9213107803917994,0.0,0.0013996132192005816,1.9051572904209496e-06,0.0,0.010851987610381109,0.06643571362132848
13,BY4741_FKS1-HS1_double_caspofungin,input2,22876785,21124254,0,28005,39,0,219385,1505102,1.0,0.9233926008396722,0.0,0.0012241667699372967,1.7047850036620093e-06,0.0,0.009589852769958716,0.06579167483542814
14,BY4741_FKS1-HS1_double_caspofungin,input3,27765843,25798503,0,38433,59,0,285137,1643711,1.0,0.9291453171438014,0.0,0.0013841827168726698,2.1249129731087223e-06,0.0,0.010269344244293249,0.0591990309820595
15,BY4741_FKS1-HS1_double_caspofungin,output1caspofungin1,9215041,8382948,0,11611,12,0,92255,728215,1.0,0.9097027349091555,0.0,0.0012600052457715598,1.3022188398293616e-06,0.0,0.010011349922371479,0.07902460770386155
16,BY4741_FKS1-HS1_double_caspofungin,output1caspofungin2,16685474,15427203,0,16659,10,0,128861,1112741,1.0,0.9245888369728064,0.0,0.0009984133504388308,5.993236991649144e-07,0.0,0.007722945119809003,0.06668920523324659
17,BY4741_FKS1-HS1_double_caspofungin,output1caspofungin3,32014345,29218918,0,52920,56,0,389333,2353118,1.0,0.9126820492501097,0.0,0.0016530089870650173,1.7492158593280607e-06,0.0,0.012161204609995925,0.07350198793697013
18,BY4741_FKS1-HS1_double_caspofungin,output2caspofungin1,9215041,8382948,0,11611,12,0,92255,728215,1.0,0.9097027349091555,0.0,0.0012600052457715598,1.3022188398293616e-06,0.0,0.010011349922371479,0.07902460770386155
19,BY4741_FKS1-HS1_double_caspofungin,output2caspofungin2,16685474,15427203,0,16659,10,0,128861,1112741,1.0,0.9245888369728064,0.0,0.0009984133504388308,5.993236991649144e-07,0.0,0.007722945119809003,0.06668920523324659
20,BY4741_FKS1-HS1_double_caspofungin,output2caspofungin3,32014345,29218918,0,52920,56,0,389333,2353118,1.0,0.9126820492501097,0.0,0.0016530089870650173,1.7492158593280607e-06,0.0,0.012161204609995925,0.07350198793697013
21,BY4741_FKS1-HS1_double_caspofungin,output3caspofungin1,9215041,8382948,0,11611,12,0,92255,728215,1.0,0.9097027349091555,0.0,0.0012600052457715598,1.3022188398293616e-06,0.0,0.010011349922371479,0.07902460770386155
22,BY4741_FKS1-HS1_double_caspofungin,output3caspofungin2,16685474,15427203,0,16659,10,0,128861,1112741,1.0,0.9245888369728064,0.0,0.0009984133504388308,5.993236991649144e-07,0.0,0.007722945119809003,0.06668920523324659
23,BY4741_FKS1-HS1_double_caspofungin,output3caspofungin3,32014345,29218918,0,52920,56,0,389333,2353118,1.0,0.9126820492501097,0.0,0.0016530089870650173,1.7492158593280607e-06,0.0,0.012161204609995925,0.07350198793697013
24,BY4741_FKS1-HS1_double_micafungin,input1,23620097,21761450,0,33059,45,0,256325,1569218,1.0,0.9213107803917994,0.0,0.0013996132192005816,1.9051572904209496e-06,0.0,0.010851987610381109,0.06643571362132848
25,BY4741_FKS1-HS1_double_micafungin,input2,22876785,21124254,0,28005,39,0,219385,1505102,1.0,0.9233926008396722,0.0,0.0012241667699372967,1.7047850036620093e-06,0.0,0.009589852769958716,0.06579167483542814
26,BY4741_FKS1-HS1_double_micafungin,input3,27765843,25798503,0,38433,59,0,285137,1643711,1.0,0.9291453171438014,0.0,0.0013841827168726698,2.1249129731087223e-06,0.0,0.010269344244293249,0.0591990309820595
27,BY4741_FKS1-HS1_double_micafungin,output1micafungin1,26664721,12555826,0,531575,118,0,1780943,11796259,1.0,0.47087783142377526,0.0,0.01993551704516241,4.425322882620823e-06,0.0,0.06679023568257099,0.44239199052560874
28,BY4741_FKS1-HS1_double_micafungin,output1micafungin2,15034153,13674010,0,23711,33,1,184810,1151588,1.0,0.9095297886086433,0.0,0.0015771423903960535,2.1950022724925043e-06,6.651522037856073e-08,0.012292677878161809,0.076598129605306
29,BY4741_FKS1-HS1_double_micafungin,output1micafungin3,17503059,15814599,0,28956,27,0,222521,1436956,1.0,0.9035334337843459,0.0,0.001654339392902692,1.5425874985623941e-06,0.0,0.01271326343583713,0.08209742079941569
30,BY4741_FKS1-HS1_double_micafungin,output2micafungin1,26664721,12555826,0,531575,118,0,1780943,11796259,1.0,0.47087783142377526,0.0,0.01993551704516241,4.425322882620823e-06,0.0,0.06679023568257099,0.44239199052560874
31,BY4741_FKS1-HS1_double_micafungin,output2micafungin2,15034153,13674010,0,23711,33,1,184810,1151588,1.0,0.9095297886086433,0.0,0.0015771423903960535,2.1950022724925043e-06,6.651522037856073e-08,0.012292677878161809,0.076598129605306
32,BY4741_FKS1-HS1_double_micafungin,output2micafungin3,17503059,15814599,0,28956,27,0,222521,1436956,1.0,0.9035334337843459,0.0,0.001654339392902692,1.5425874985623941e-06,0.0,0.01271326343583713,0.08209742079941569
33,BY4741_FKS1-HS1_double_micafungin,output3micafungin1,26664721,12555826,0,531575,118,0,1780943,11796259,1.0,0.47087783142377526,0.0,0.01993551704516241,4.425322882620823e-06,0.0,0.06679023568257099,0.44239199052560874
34,BY4741_FKS1-HS1_double_micafungin,output3micafungin2,15034153,13674010,0,23711,33,1,184810,1151588,1.0,0.9095297886086433,0.0,0.0015771423903960535,2.1950022724925043e-06,6.651522037856073e-08,0.012292677878161809,0.076598129605306
35,BY4741_FKS1-HS1_double_micafungin,output3micafungin3,17503059,15814599,0,28956,27,0,222521,1436956,1.0,0.9035334337843459,0.0,0.001654339392902692,1.5425874985623941e-06,0.0,0.01271326343583713,0.08209742079941569
36,BY4741_FKS1-HS1_double_none,input1,23620097,21761450,0,33059,45,0,256325,1569218,1.0,0.9213107803917994,0.0,0.0013996132192005816,1.9051572904209496e-06,0.0,0.010851987610381109,0.06643571362132848
37,BY4741_FKS1-HS1_double_none,input2,22876785,21124254,0,28005,39,0,219385,1505102,1.0,0.9233926008396722,0.0,0.0012241667699372967,1.7047850036620093e-06,0.0,0.009589852769958716,0.06579167483542814
38,BY4741_FKS1-HS1_double_none,input3,27765843,25798503,0,38433,59,0,285137,1643711,1.0,0.9291453171438014,0.0,0.0013841827168726698,2.1249129731087223e-06,0.0,0.010269344244293249,0.0591990309820595
39,BY4741_FKS1-HS1_double_none,output1none1,21597452,19870020,0,27556,26,0,220773,1479077,1.0,0.9200168612482621,0.0,0.0012758912486528504,1.203845712910949e-06,0.0,0.010222178060634189,0.06848386559673798
40,BY4741_FKS1-HS1_double_none,output1none2,15666871,14528913,0,17892,20,0,144720,975326,1.0,0.9273653303202662,0.0,0.0011420276582350107,1.2765790948301037e-06,0.0,0.009237326330190629,0.062254039112213284
41,BY4741_FKS1-HS1_double_none,output1none3,18279463,16977764,0,23337,27,0,179625,1098710,1.0,0.9287889912302129,0.0,0.0012766786420366945,1.477067460898605e-06,0.0,0.009826601580144888,0.06010625148014469
42,BY4741_FKS1-HS1_double_none,output2none1,21597452,19870020,0,27556,26,0,220773,1479077,1.0,0.9200168612482621,0.0,0.0012758912486528504,1.203845712910949e-06,0.0,0.010222178060634189,0.06848386559673798
43,BY4741_FKS1-HS1_double_none,output2none2,15666871,14528913,0,17892,20,0,144720,975326,1.0,0.9273653303202662,0.0,0.0011420276582350107,1.2765790948301037e-06,0.0,0.009237326330190629,0.062254039112213284
44,BY4741_FKS1-HS1_double_none,output2none3,18279463,16977764,0,23337,27,0,179625,1098710,1.0,0.9287889912302129,0.0,0.0012766786420366945,1.477067460898605e-06,0.0,0.009826601580144888,0.06010625148014469
45,BY4741_FKS1-HS1_double_none,output3none1,21597452,19870020,0,27556,26,0,220773,1479077,1.0,0.9200168612482621,0.0,0.0012758912486528504,1.203845712910949e-06,0.0,0.010222178060634189,0.06848386559673798
46,BY4741_FKS1-HS1_double_none,output3none2,15666871,14528913,0,17892,20,0,144720,975326,1.0,0.9273653303202662,0.0,0.0011420276582350107,1.2765790948301037e-06,0.0,0.009237326330190629,0.062254039112213284
47,BY4741_FKS1-HS1_double_none,output3none3,18279463,16977764,0,23337,27,0,179625,1098710,1.0,0.9287889912302129,0.0,0.0012766786420366945,1.477067460898605e-06,0.0,0.009826601580144888,0.06010625148014469
48,BY4741_FKS1-HS1_single_ortho_anidulafungin,input1,222013,206079,0,266,0,0,1981,13687,1.0,0.9282294280064681,0.0,0.0011981280375473508,0.0,0.0,0.008922900911207902,0.061649543044776656
49,BY4741_FKS1-HS1_single_ortho_anidulafungin,input2,209367,181438,0,323,0,0,2893,24713,1.0,0.8666026642212001,0.0,0.00154274551385844,0.0,0.0,0.013817841398119092,0.11803674886682237
