,experiment,sample_name,Pairs,Merged,Too short,No alignment found,Too many diffs,Overlap too short,Exp.errs. too high,Min Q too low,Ratio Pairs,Ratio Merged,Ratio Too short,Ratio No alignment found,Ratio Too many diffs,Ratio Overlap too short,Ratio Exp.errs. too high,Ratio Min Q too low
50,BY4741_FKS1-HS1_single_ortho_anidulafungin,output1anidulafungin1,116063,108064,0,131,0,0,1077,6791,1.0,0.9310805338479964,0.0,0.0011286973454072357,0.0,0.0,0.009279443061096128,0.05851132574550029
51,BY4741_FKS1-HS1_single_ortho_anidulafungin,output1anidulafungin2,126772,117513,0,142,0,0,1208,7909,1.0,0.9269633673050831,0.0,0.0011201211624017923,0.0,0.0,0.009528918057615247,0.06238759347489982
52,BY4741_FKS1-HS1_single_ortho_anidulafungin,output1anidulafungin3,209660,189116,0,550,0,0,3697,16297,1.0,0.9020127826004006,0.0,0.0026232948583420775,0.0,0.0,0.01763331107507393,0.07773061146618335
53,BY4741_FKS1-HS1_single_ortho_anidulafungin,output2anidulafungin1,116063,108064,0,131,0,0,1077,6791,1.0,0.9310805338479964,0.0,0.0011286973454072357,0.0,0.0,0.009279443061096128,0.05851132574550029
54,BY4741_FKS1-HS1_single_ortho_anidulafungin,output2anidulafungin2,126772,117513,0,142,0,0,1208,7909,1.0,0.9269633673050831,0.0,0.0011201211624017923,0.0,0.0,0.009528918057615247,0.06238759347489982
55,BY4741_FKS1-HS1_single_ortho_anidulafungin,output2anidulafungin3,209660,189116,0,550,0,0,3697,16297,1.0,0.9020127826004006,0.0,0.0026232948583420775,0.0,0.0,0.01763331107507393,0.07773061146618335
56,BY4741_FKS1-HS1_single_ortho_caspofungin,input1,222013,206079,0,266,0,0,1981,13687,1.0,0.9282294280064681,0.0,0.0011981280375473508,0.0,0.0,0.008922900911207902,0.061649543044776656
57,BY4741_FKS1-HS1_single_ortho_caspofungin,input2,209367,181438,0,323,0,0,2893,24713,1.0,0.8666026642212001,0.0,0.00154274551385844,0.0,0.0,0.013817841398119092,0.11803674886682237
58,BY4741_FKS1-HS1_single_ortho_caspofungin,output1caspofungin1,180654,167495,0,238,0,0,1812,11109,1.0,0.9271590997154782,0.0,0.0013174355397610903,0.0,0.0,0.010030223521206284,0.06149324122355442
59,BY4741_FKS1-HS1_single_ortho_caspofungin,output1caspofungin2,190679,176429,0,206,1,0,1732,12311,1.0,0.9252670718852102,0.0,0.0010803496976594172,5.244416008055423e-06,0.0,0.009083328525951992,0.06456400547517031
60,BY4741_FKS1-HS1_single_ortho_caspofungin,output1caspofungin3,123470,115237,0,128,0,0,1052,7053,1.0,0.9333198347776788,0.0,0.0010366890742690533,0.0,0.0,0.00852028832914878,0.057123187818903375
61,BY4741_FKS1-HS1_single_ortho_caspofungin,output2caspofungin1,180654,167495,0,238,0,0,1812,11109,1.0,0.9271590997154782,0.0,0.0013174355397610903,0.0,0.0,0.010030223521206284,0.06149324122355442
62,BY4741_FKS1-HS1_single_ortho_caspofungin,output2caspofungin2,190679,176429,0,206,1,0,1732,12311,1.0,0.9252670718852102,0.0,0.0010803496976594172,5.244416008055423e-06,0.0,0.009083328525951992,0.06456400547517031
63,BY4741_FKS1-HS1_single_ortho_caspofungin,output2caspofungin3,123470,115237,0,128,0,0,1052,7053,1.0,0.9333198347776788,0.0,0.0010366890742690533,0.0,0.0,0.00852028832914878,0.057123187818903375
64,BY4741_FKS1-HS1_single_ortho_micafungin,input1,222013,206079,0,266,0,0,1981,13687,1.0,0.9282294280064681,0.0,0.0011981280375473508,0.0,0.0,0.008922900911207902,0.061649543044776656
65,BY4741_FKS1-HS1_single_ortho_micafungin,input2,209367,181438,0,323,0,0,2893,24713,1.0,0.8666026642212001,0.0,0.00154274551385844,0.0,0.0,0.013817841398119092,0.11803674886682237
66,BY4741_FKS1-HS1_single_ortho_micafungin,output1micafungin1,127626,118424,0,156,0,0,1138,7908,1.0,0.9278987040258254,0.0,0.0012223214705467539,0.0,0.0,0.00891667841975773,0.06196229608387006
67,BY4741_FKS1-HS1_single_ortho_micafungin,output1micafungin2,123857,115390,0,145,0,0,1106,7216,1.0,0.9316389061579079,0.0,0.0011707049258418982,0.0,0.0,0.008929652744697513,0.058260736171552675
68,BY4741_FKS1-HS1_single_ortho_micafungin,output1micafungin3,224894,202003,0,642,0,0,4099,18150,1.0,0.8982142698337884,0.0,0.0028546782039538627,0.0,0.0,0.01822636442057147,0.0807046875416863
69,BY4741_FKS1-HS1_single_ortho_micafungin,output2micafungin1,127626,118424,0,156,0,0,1138,7908,1.0,0.9278987040258254,0.0,0.0012223214705467539,0.0,0.0,0.00891667841975773,0.06196229608387006
70,BY4741_FKS1-HS1_single_ortho_micafungin,output2micafungin2,123857,115390,0,145,0,0,1106,7216,1.0,0.9316389061579079,0.0,0.0011707049258418982,0.0,0.0,0.008929652744697513,0.058260736171552675
71,BY4741_FKS1-HS1_single_ortho_micafungin,output2micafungin3,224894,202003,0,642,0,0,4099,18150,1.0,0.8982142698337884,0.0,0.0028546782039538627,0.0,0.0,0.01822636442057147,0.0807046875416863
72,BY4741_FKS1-HS1_single_ortho_none,input1,222013,206079,0,266,0,0,1981,13687,1.0,0.9282294280064681,0.0,0.0011981280375473508,0.0,0.0,0.008922900911207902,0.061649543044776656
73,BY4741_FKS1-HS1_single_ortho_none,input2,209367,181438,0,323,0,0,2893,24713,1.0,0.8666026642212001,0.0,0.00154274551385844,0.0,0.0,0.013817841398119092,0.11803674886682237
74,BY4741_FKS1-HS1_single_ortho_none,output1none1,243008,227179,0,246,0,0,1747,13836,1.0,0.9348622267579668,0.0,0.001012312351856729,0.0,0.0,0.007189063734527258,0.056936397155649195
75,BY4741_FKS1-HS1_single_ortho_none,output1none2,135977,125903,0,166,0,0,1284,8624,1.0,0.9259139413283128,0.0,0.0012207946932201769,0.0,0.0,0.00944277341020908,0.06342249056825787
76,BY4741_FKS1-HS1_single_ortho_none,output1none3,252527,228395,0,738,1,0,4840,18553,1.0,0.9044379412894463,0.0,0.002922459776578346,3.959972596989629e-06,0.0,0.019166267369429803,0.07346937159194858
77,BY4741_FKS1-HS1_single_ortho_none,output2none1,243008,227179,0,246,0,0,1747,13836,1.0,0.9348622267579668,0.0,0.001012312351856729,0.0,0.0,0.007189063734527258,0.056936397155649195
78,BY4741_FKS1-HS1_single_ortho_none,output2none2,135977,125903,0,166,0,0,1284,8624,1.0,0.9259139413283128,0.0,0.0012207946932201769,0.0,0.0,0.00944277341020908,0.06342249056825787
79,BY4741_FKS1-HS1_single_ortho_none,output2none3,252527,228395,0,738,1,0,4840,18553,1.0,0.9044379412894463,0.0,0.002922459776578346,3.959972596989629e-06,0.0,0.019166267369429803,0.07346937159194858
80,BY4741_FKS1-HS2_double_anidulafungin,input1,13333681,12557145,0,19205,2,0,96646,660683,1.0,0.9417613185736182,0.0,0.0014403374432011686,1.4999608885198318e-07,0.0,0.007248261001594383,0.049549932985497404
81,BY4741_FKS1-HS2_double_anidulafungin,input2,13740490,12900962,0,19780,2,1,100225,719520,1.0,0.9389011600022997,0.0,0.0014395410935126767,1.455552167353566e-07,7.27776083676783e-08,0.007294135798650557,0.05236494477271189
82,BY4741_FKS1-HS2_double_anidulafungin,output1anidulafungin1,13704023,12865682,0,18686,2,0,109282,710371,1.0,0.9388251902379323,0.0,0.0013635412024629555,1.4594254548463616e-07,0.0,0.007974446627826004,0.051836675989233236
83,BY4741_FKS1-HS2_double_anidulafungin,output1anidulafungin2,13735258,12930839,0,20720,1,1,112084,671613,1.0,0.9414340087386782,0.0,0.0015085264506862557,7.280533063157605e-08,7.280533063157605e-08,0.008160312678509571,0.048897006521464684
84,BY4741_FKS1-HS2_double_anidulafungin,output1anidulafungin3,12094514,11347058,0,17966,6,1,100777,628706,1.0,0.9381987568909342,0.0,0.0014854668819267976,4.960926912813529e-07,8.268211521355881e-08,0.008332455524876816,0.0519827419274557
85,BY4741_FKS1-HS2_double_anidulafungin,output2anidulafungin1,13704023,12865682,0,18686,2,0,109282,710371,1.0,0.9388251902379323,0.0,0.0013635412024629555,1.4594254548463616e-07,0.0,0.007974446627826004,0.051836675989233236
86,BY4741_FKS1-HS2_double_anidulafungin,output2anidulafungin2,13735258,12930839,0,20720,1,1,112084,671613,1.0,0.9414340087386782,0.0,0.0015085264506862557,7.280533063157605e-08,7.280533063157605e-08,0.008160312678509571,0.048897006521464684
87,BY4741_FKS1-HS2_double_anidulafungin,output2anidulafungin3,12094514,11347058,0,17966,6,1,100777,628706,1.0,0.9381987568909342,0.0,0.0014854668819267976,4.960926912813529e-07,8.268211521355881e-08,0.008332455524876816,0.0519827419274557
88,BY4741_FKS1-HS2_double_caspofungin,input1,13333681,12557145,0,19205,2,0,96646,660683,1.0,0.9417613185736182,0.0,0.0014403374432011686,1.4999608885198318e-07,0.0,0.007248261001594383,0.049549932985497404
89,BY4741_FKS1-HS2_double_caspofungin,input2,13740490,12900962,0,19780,2,1,100225,719520,1.0,0.9389011600022997,0.0,0.0014395410935126767,1.455552167353566e-07,7.27776083676783e-08,0.007294135798650557,0.05236494477271189
90,BY4741_FKS1-HS2_double_caspofungin,output1caspofungin1,12384972,11694516,0,15936,1,0,92226,582293,1.0,0.9442504997185298,0.0,0.0012867207128122696,8.07430166172358e-08,0.0,0.007446605450541188,0.04701609337510008
91,BY4741_FKS1-HS2_double_caspofungin,output1caspofungin2,14519614,13701837,0,16373,2,0,101339,700063,1.0,0.94367777270112,0.0,0.0011276470572840298,1.3774470864032612e-07,0.0,0.006979455514451004,0.04821498698243631
92,BY4741_FKS1-HS2_double_caspofungin,output1caspofungin3,17919727,16874960,0,26326,1,1,141606,876833,1.0,0.9416973818853379,0.0,0.0014691072023586074,5.5804421574056344e-08,5.5804421574056344e-08,0.007902240921415823,0.04893115838204455
93,BY4741_FKS1-HS2_double_caspofungin,output2caspofungin1,12384972,11694516,0,15936,1,0,92226,582293,1.0,0.9442504997185298,0.0,0.0012867207128122696,8.07430166172358e-08,0.0,0.007446605450541188,0.04701609337510008
94,BY4741_FKS1-HS2_double_caspofungin,output2caspofungin2,14519614,13701837,0,16373,2,0,101339,700063,1.0,0.94367777270112,0.0,0.0011276470572840298,1.3774470864032612e-07,0.0,0.006979455514451004,0.04821498698243631
95,BY4741_FKS1-HS2_double_caspofungin,output2caspofungin3,17919727,16874960,0,26326,1,1,141606,876833,1.0,0.9416973818853379,0.0,0.0014691072023586074,5.5804421574056344e-08,5.5804421574056344e-08,0.007902240921415823,0.04893115838204455
96,BY4741_FKS1-HS2_double_micafungin,input1,13333681,12557145,0,19205,2,0,96646,660683,1.0,0.9417613185736182,0.0,0.0014403374432011686,1.4999608885198318e-07,0.0,0.007248261001594383,0.049549932985497404
97,BY4741_FKS1-HS2_double_micafungin,input2,13740490,12900962,0,19780,2,1,100225,719520,1.0,0.9389011600022997,0.0,0.0014395410935126767,1.455552167353566e-07,7.27776083676783e-08,0.007294135798650557,0.05236494477271189
98,BY4741_FKS1-HS2_double_micafungin,output1micafungin1,18503898,17352246,0,22994,3,1,137803,990851,1.0,0.9377616543281854,0.0,0.0012426570877120053,1.6212800135409306e-07,5.404266711803102e-08,0.007447241656866029,0.05354823075656816
99,BY4741_FKS1-HS2_double_micafungin,output1micafungin2,15430455,14415222,0,22619,2,0,130823,861789,1.0,0.9342058934749494,0.0,0.0014658673383254092,1.2961380594415395e-07,0.0,0.008478233467516026,0.05584987610540324
100,BY4741_FKS1-HS2_double_micafungin,output1micafungin3,11643032,10904409,0,16897,1,0,96470,625255,1.0,0.9365609404835441,0.0,0.001451254278095259,8.588828064717164e-08,0.0,0.008285642434032648,0.053702076916047295
101,BY4741_FKS1-HS2_double_micafungin,output2micafungin1,18503898,17352246,0,22994,3,1,137803,990851,1.0,0.9377616543281854,0.0,0.0012426570877120053,1.6212800135409306e-07,5.404266711803102e-08,0.007447241656866029,0.05354823075656816
102,BY4741_FKS1-HS2_double_micafungin,output2micafungin2,15430455,14415222,0,22619,2,0,130823,861789,1.0,0.9342058934749494,0.0,0.0014658673383254092,1.2961380594415395e-07,0.0,0.008478233467516026,0.05584987610540324
103,BY4741_FKS1-HS2_double_micafungin,output2micafungin3,11643032,10904409,0,16897,1,0,96470,625255,1.0,0.9365609404835441,0.0,0.001451254278095259,8.588828064717164e-08,0.0,0.008285642434032648,0.053702076916047295
104,BY4741_FKS1-HS2_double_none,input1,13333681,12557145,0,19205,2,0,96646,660683,1.0,0.9417613185736182,0.0,0.0014403374432011686,1.4999608885198318e-07,0.0,0.007248261001594383,0.049549932985497404
105,BY4741_FKS1-HS2_double_none,input2,13740490,12900962,0,19780,2,1,100225,719520,1.0,0.9389011600022997,0.0,0.0014395410935126767,1.455552167353566e-07,7.27776083676783e-08,0.007294135798650557,0.05236494477271189
106,BY4741_FKS1-HS2_double_none,output1none1,14670713,13761297,0,22575,0,2,117551,769288,1.0,0.9380114654277539,0.0,0.0015387800170312104,0.0,1.3632602587208952e-07,0.008012630333644997,0.052436987895544
107,BY4741_FKS1-HS2_double_none,output1none2,15236407,14294480,0,22918,3,0,121746,797260,1.0,0.9381791914589838,0.0,0.0015041603968704695,1.9689681432111914e-07,0.0,0.007990466518779658,0.052325984728551815
108,BY4741_FKS1-HS2_double_none,output1none3,12770533,12022863,0,19953,1,2,100571,627143,1.0,0.9414535008053305,0.0,0.0015624249982361738,7.830526728994005e-08,1.566105345798801e-07,0.007875239036616561,0.04910860024401487
109,BY4741_FKS1-HS2_double_none,output2none1,14670713,13761297,0,22575,0,2,117551,769288,1.0,0.9380114654277539,0.0,0.0015387800170312104,0.0,1.3632602587208952e-07,0.008012630333644997,0.052436987895544
110,BY4741_FKS1-HS2_double_none,output2none2,15236407,14294480,0,22918,3,0,121746,797260,1.0,0.9381791914589838,0.0,0.0015041603968704695,1.9689681432111914e-07,0.0,0.007990466518779658,0.052325984728551815
111,BY4741_FKS1-HS2_double_none,output2none3,12770533,12022863,0,19953,1,2,100571,627143,1.0,0.9414535008053305,0.0,0.0015624249982361738,7.830526728994005e-08,1.566105345798801e-07,0.007875239036616561,0.04910860024401487
112,BY4741_FKS1-HS2_single_ortho_anidulafungin,input1,299563,281639,0,387,0,0,2040,15497,1.0,0.9401661753954927,0.0,0.0012918818412153703,0.0,0.0,0.006809919783150789,0.051732022980141075
113,BY4741_FKS1-HS2_single_ortho_anidulafungin,input2,240077,226059,0,363,3,0,1859,11793,1.0,0.9416103999966677,0.0,0.0015120148952211165,1.2495990869596004e-05,0.0,0.007743349008859658,0.04912174010838189
114,BY4741_FKS1-HS2_single_ortho_anidulafungin,input3,231838,218453,0,324,0,0,1659,11402,1.0,0.9422657200286407,0.0,0.0013975275839163553,0.0,0.0,0.007155858832460597,0.049180893554982355
115,BY4741_FKS1-HS2_single_ortho_anidulafungin,output1anidulafungin1,316320,295598,0,590,0,0,2962,17170,1.0,0.9344903894790086,0.0,0.0018651997976732422,0.0,0.0,0.00936393525543753,0.054280475467880625
116,BY4741_FKS1-HS2_single_ortho_anidulafungin,output1anidulafungin2,285610,263753,0,610,0,0,3101,18146,1.0,0.9234725674871328,0.0,0.0021357795595392318,0.0,0.0,0.010857462973985505,0.06353418997934246
117,BY4741_FKS1-HS2_single_ortho_anidulafungin,output1anidulafungin3,211950,196813,0,400,0,0,2210,12527,1.0,0.9285822127860345,0.0,0.001887237556027365,0.0,0.0,0.01042698749705119,0.059103562160887003
118,BY4741_FKS1-HS2_single_ortho_anidulafungin,output2anidulafungin1,316320,295598,0,590,0,0,2962,17170,1.0,0.9344903894790086,0.0,0.0018651997976732422,0.0,0.0,0.00936393525543753,0.054280475467880625
119,BY4741_FKS1-HS2_single_ortho_anidulafungin,output2anidulafungin2,285610,263753,0,610,0,0,3101,18146,1.0,0.9234725674871328,0.0,0.0021357795595392318,0.0,0.0,0.010857462973985505,0.06353418997934246
120,BY4741_FKS1-HS2_single_ortho_anidulafungin,output2anidulafungin3,211950,196813,0,400,0,0,2210,12527,1.0,0.9285822127860345,0.0,0.001887237556027365,0.0,0.0,0.01042698749705119,0.059103562160887003
