,total_readcount,WT,WT_%,single_mut_readcount,single_mut_readcount_%,ortho_mut_readcount,ortho_mut_readcount_%,double_mut_readcount,double_mut_readcount_%
input1,250110.0,5266.0,2.1,208453.0,83.3,36391.0,14.499999999999998,0.0,0.0
input2,223168.0,4684.0,2.1,187511.0,84.0,30973.0,13.900000000000002,0.0,0.0
input3,182291.0,3879.0,2.1,152268.0,83.5,26144.0,14.299999999999999,0.0,0.0
b1,169443.0,31.0,0.0,136115.0,80.30000000000001,33297.0,19.7,0.0,0.0
b2,190045.0,315.0,0.2,142824.0,75.2,46906.0,24.7,0.0,0.0
b3,153030.0,74.0,0.0,124127.0,81.10000000000001,28829.0,18.8,0.0,0.0
