,total_readcount,WT,WT_%,single_mut_readcount,single_mut_readcount_%,ortho_mut_readcount,ortho_mut_readcount_%,double_mut_readcount,double_mut_readcount_%
input1,250110.0,5266.0,2.1,208453.0,83.3,36391.0,14.499999999999998,0.0,0.0
input2,223168.0,4684.0,2.1,187511.0,84.0,30973.0,13.900000000000002,0.0,0.0
input3,182291.0,3879.0,2.1,152268.0,83.5,26144.0,14.299999999999999,0.0,0.0
b1,165847.0,3389.0,2.0,137460.0,82.89999999999999,24998.0,15.1,0.0,0.0
b2,142698.0,3006.0,2.1,119500.0,83.7,20192.0,14.2,0.0,0.0
b3,180973.0,3966.0,2.1999999999999997,149694.0,82.69999999999999,27313.0,15.1,0.0,0.0
