,Filtered_sequenced_variants,Filtered_sequenced_variants_rc,Usable_variants,Covered_variants_%,Usable_variants_rc,Usable_variants_%rc,Unsequenced_variants,Unexpected_variants,Unexpected_variants_rc
input1,883,259796,276,82.6,250110.0,96.3,53,607,9686.0
input2,1988,241936,275,82.3,223168.0,92.2,53,1713,18768.0
input3,1941,197138,276,82.6,182291.0,92.5,53,1665,14847.0
b1,1687,175809,267,79.9,165847.0,94.3,53,1420,9962.0
b2,1639,152033,262,78.4,142698.0,93.89999999999999,53,1377,9335.0
b3,1712,191861,258,77.2,180973.0,94.3,53,1454,10888.0
