,total_readcount,WT,WT_%,single_mut_readcount,single_mut_readcount_%,ortho_mut_readcount,ortho_mut_readcount_%,double_mut_readcount,double_mut_readcount_%
input1,250110.0,5266.0,2.1,208453.0,83.3,36391.0,14.499999999999998,0.0,0.0
input2,223168.0,4684.0,2.1,187511.0,84.0,30973.0,13.900000000000002,0.0,0.0
input3,182291.0,3879.0,2.1,152268.0,83.5,26144.0,14.299999999999999,0.0,0.0
b1,170424.0,3734.0,2.1999999999999997,141393.0,83.0,25297.0,14.799999999999999,0.0,0.0
b2,170527.0,3945.0,2.3,142685.0,83.7,23897.0,14.000000000000002,0.0,0.0
b3,237166.0,4995.0,2.1,196617.0,82.89999999999999,35554.0,15.0,0.0,0.0
