,total_readcount,WT,WT_%,single_mut_readcount,single_mut_readcount_%,ortho_mut_readcount,ortho_mut_readcount_%,double_mut_readcount,double_mut_readcount_%
input1,250110.0,5266.0,2.1,208453.0,83.3,36391.0,14.499999999999998,0.0,0.0
input2,223168.0,4684.0,2.1,187511.0,84.0,30973.0,13.900000000000002,0.0,0.0
input3,182291.0,3879.0,2.1,152268.0,83.5,26144.0,14.299999999999999,0.0,0.0
b1,185764.0,64.0,0.0,152476.0,82.1,33224.0,17.9,0.0,0.0
b2,212539.0,220.0,0.1,166735.0,78.4,45584.0,21.4,0.0,0.0
b3,206100.0,118.0,0.1,169313.0,82.19999999999999,36669.0,17.8,0.0,0.0
