,total_readcount,WT,WT_%,single_mut_readcount,single_mut_readcount_%,ortho_mut_readcount,ortho_mut_readcount_%,double_mut_readcount,double_mut_readcount_%
input1,265618.0,920.0,0.3,199093.0,75.0,65605.0,24.7,0.0,0.0
input2,212178.0,760.0,0.4,163050.0,76.8,48368.0,22.8,0.0,0.0
input3,205873.0,707.0,0.3,156241.0,75.9,48925.0,23.799999999999997,0.0,0.0
b1,110523.0,305.0,0.3,81155.0,73.4,29063.0,26.3,0.0,0.0
b2,280878.0,952.0,0.3,204338.0,72.7,75588.0,26.900000000000002,0.0,0.0
b3,165177.0,422.0,0.3,122424.0,74.1,42331.0,25.6,0.0,0.0
