,total_readcount,WT,WT_%,single_mut_readcount,single_mut_readcount_%,ortho_mut_readcount,ortho_mut_readcount_%,double_mut_readcount,double_mut_readcount_%
input1,200299.0,6358.0,3.2,164949.0,82.39999999999999,28992.0,14.499999999999998,0.0,0.0
input2,171995.0,5192.0,3.0,142215.0,82.69999999999999,24588.0,14.299999999999999,0.0,0.0
b1,221028.0,6881.0,3.1,178810.0,80.9,35337.0,16.0,0.0,0.0
b2,122518.0,3824.0,3.1,99789.0,81.39999999999999,18905.0,15.4,0.0,0.0
b3,194831.0,6117.0,3.1,160902.0,82.6,27812.0,14.299999999999999,0.0,0.0
