,total_readcount,WT,WT_%,single_mut_readcount,single_mut_readcount_%,ortho_mut_readcount,ortho_mut_readcount_%,double_mut_readcount,double_mut_readcount_%
input1,186592.0,3697.0,2.0,130609.0,70.0,52286.0,28.000000000000004,0.0,0.0
input2,151354.0,3058.0,2.0,110294.0,72.89999999999999,38002.0,25.1,0.0,0.0
input3,7323.0,141.0,1.9,5200.0,71.0,1982.0,27.1,0.0,0.0
b1,183483.0,4030.0,2.1999999999999997,131106.0,71.5,48347.0,26.3,0.0,0.0
b2,235016.0,5589.0,2.4,181090.0,77.10000000000001,48337.0,20.599999999999998,0.0,0.0
b3,236902.0,5753.0,2.4,176983.0,74.7,54166.0,22.900000000000002,0.0,0.0
