,Filtered_sequenced_variants,Filtered_sequenced_variants_rc,Usable_variants,Covered_variants_%,Usable_variants_rc,Usable_variants_%rc,Unsequenced_variants,Unexpected_variants,Unexpected_variants_rc
input1,298,196599,208,60.099999999999994,186592.0,94.89999999999999,130,90,10007.0
input2,600,161533,210,60.699999999999996,151354.0,93.7,130,390,10179.0
input3,438,8242,196,56.599999999999994,7323.0,88.8,130,242,919.0
b1,329,194010,204,59.0,183483.0,94.6,130,125,10527.0
b2,355,247522,208,60.099999999999994,235016.0,94.89999999999999,130,147,12506.0
b3,347,249700,207,59.8,236902.0,94.89999999999999,130,140,12798.0
