,Filtered_sequenced_variants,Filtered_sequenced_variants_rc,Usable_variants,Covered_variants_%,Usable_variants_rc,Usable_variants_%rc,Unsequenced_variants,Unexpected_variants,Unexpected_variants_rc
input1,298,196599,208,60.099999999999994,186592.0,94.89999999999999,130,90,10007.0
input2,600,161533,210,60.699999999999996,151354.0,93.7,130,390,10179.0
input3,438,8242,196,56.599999999999994,7323.0,88.8,130,242,919.0
b1,256,206412,162,46.800000000000004,198899.0,96.39999999999999,130,94,7513.0
b2,267,211987,173,50.0,197313.0,93.10000000000001,130,94,14674.0
b3,262,191454,172,49.7,177839.0,92.9,130,90,13615.0
