,Filtered_sequenced_variants,Filtered_sequenced_variants_rc,Usable_variants,Covered_variants_%,Usable_variants_rc,Usable_variants_%rc,Unsequenced_variants,Unexpected_variants,Unexpected_variants_rc
input1,699,278176,225,65.0,265618.0,95.5,116,474,12558.0
input2,732,223275,228,65.9,212178.0,95.0,116,504,11097.0
input3,679,215798,224,64.7,205873.0,95.39999999999999,116,455,9925.0
b1,356,269027,195,56.39999999999999,263942.0,98.1,116,161,5085.0
b2,337,296579,197,56.89999999999999,291050.0,98.1,116,140,5529.0
b3,324,268933,199,57.49999999999999,263601.0,98.0,116,125,5332.0
