,total_readcount,WT,WT_%,single_mut_readcount,single_mut_readcount_%,ortho_mut_readcount,ortho_mut_readcount_%,double_mut_readcount,double_mut_readcount_%
input1,172973.0,3083.0,1.7999999999999998,148059.0,85.6,21831.0,12.6,0.0,0.0
input2,192253.0,3910.0,2.0,169551.0,88.2,18792.0,9.8,0.0,0.0
input3,230160.0,4461.0,1.9,200358.0,87.1,25341.0,11.0,0.0,0.0
b1,142313.0,2514.0,1.7999999999999998,120987.0,85.0,18812.0,13.200000000000001,0.0,0.0
b2,237480.0,4445.0,1.9,206836.0,87.1,26199.0,11.0,0.0,0.0
b3,189551.0,3456.0,1.7999999999999998,164560.0,86.8,21535.0,11.4,0.0,0.0
