,Filtered_sequenced_variants,Filtered_sequenced_variants_rc,Usable_variants,Covered_variants_%,Usable_variants_rc,Usable_variants_%rc,Unsequenced_variants,Unexpected_variants,Unexpected_variants_rc
input1,802,181264,242,76.8,177367.0,97.89999999999999,72,560,3897.0
input2,1106,146737,241,76.5,132318.0,90.2,72,865,14419.0
input3,1065,135458,239,75.9,128717.0,95.0,72,826,6741.0
b1,402,151441,239,75.9,149798.0,98.9,72,163,1643.0
b2,388,133063,234,74.3,131657.0,98.9,72,154,1406.0
b3,379,121920,235,74.6,120647.0,99.0,72,144,1273.0
