,Filtered_sequenced_variants,Filtered_sequenced_variants_rc,Usable_variants,Covered_variants_%,Usable_variants_rc,Usable_variants_%rc,Unsequenced_variants,Unexpected_variants,Unexpected_variants_rc
input1,298,196599,208,60.099999999999994,186592.0,94.89999999999999,130,90,10007.0
input2,600,161533,210,60.699999999999996,151354.0,93.7,130,390,10179.0
input3,438,8242,196,56.599999999999994,7323.0,88.8,130,242,919.0
b1,264,239779,178,51.4,217247.0,90.60000000000001,130,86,22532.0
b2,270,193551,171,49.4,175501.0,90.7,130,99,18050.0
b3,271,205551,174,50.3,184883.0,89.9,130,97,20668.0
