,total_readcount,WT,WT_%,single_mut_readcount,single_mut_readcount_%,ortho_mut_readcount,ortho_mut_readcount_%,double_mut_readcount,double_mut_readcount_%
input1,200299.0,6358.0,3.2,164949.0,82.39999999999999,28992.0,14.499999999999998,0.0,0.0
input2,171995.0,5192.0,3.0,142215.0,82.69999999999999,24588.0,14.299999999999999,0.0,0.0
b1,161184.0,115.0,0.1,125156.0,77.60000000000001,35913.0,22.3,0.0,0.0
b2,169995.0,81.0,0.0,131222.0,77.2,38692.0,22.8,0.0,0.0
b3,110773.0,40.0,0.0,88204.0,79.60000000000001,22529.0,20.3,0.0,0.0
