,total_readcount,WT,WT_%,single_mut_readcount,single_mut_readcount_%,ortho_mut_readcount,ortho_mut_readcount_%,double_mut_readcount,double_mut_readcount_%
input1,265618.0,920.0,0.3,199093.0,75.0,65605.0,24.7,0.0,0.0
input2,212178.0,760.0,0.4,163050.0,76.8,48368.0,22.8,0.0,0.0
input3,205873.0,707.0,0.3,156241.0,75.9,48925.0,23.799999999999997,0.0,0.0
b1,261700.0,1163.0,0.4,238344.0,91.10000000000001,22193.0,8.5,0.0,0.0
b2,187234.0,686.0,0.4,171183.0,91.4,15365.0,8.200000000000001,0.0,0.0
b3,229873.0,1129.0,0.5,208943.0,90.9,19801.0,8.6,0.0,0.0
