,Filtered_sequenced_variants,Filtered_sequenced_variants_rc,Usable_variants,Covered_variants_%,Usable_variants_rc,Usable_variants_%rc,Unsequenced_variants,Unexpected_variants,Unexpected_variants_rc
input1,699,278176,225,65.0,265618.0,95.5,116,474,12558.0
input2,732,223275,228,65.9,212178.0,95.0,116,504,11097.0
input3,679,215798,224,64.7,205873.0,95.39999999999999,116,455,9925.0
b1,333,270821,200,57.8,261700.0,96.6,116,133,9121.0
b2,358,193193,190,54.900000000000006,187234.0,96.89999999999999,116,168,5959.0
b3,391,237529,194,56.10000000000001,229873.0,96.8,116,197,7656.0
