,strain,locus,compound,slope,intercept
0,BY4741,FKS1-HS1,anidulafungin,0.30575328756546094,-0.04109315189833357
1,BY4741,FKS1-HS1,caspofungin,0.3160716116909837,-0.1433922071354579
2,BY4741,FKS1-HS1,micafungin,0.2079544691093946,0.06273076014016013
3,BY4741,FKS1-HS1,none,0.3249370578461833,-0.015002055053149888
4,BY4741,FKS1-HS2,anidulafungin,0.2409280157362482,0.15712937632627524
5,BY4741,FKS1-HS2,caspofungin,0.2159838428969902,0.16137722390992762
6,BY4741,FKS1-HS2,micafungin,0.19514183203143226,0.5171000151555182
7,BY4741,FKS1-HS2,none,0.3149774572914351,-0.009393856858902969
